"No","Sentiment","Instagram Comment Text","",""
"1","Negatif"," INDONESIA ITU SEDANG PERANG PAK, PERANG SAMA PEMERINTAH MU SENDIRI !!!","",""
"2","Negatif","perang sama fans anis","",""
"3","Negatif","betul, d harta nya d keruk oleh org sndr","",""
"4","Positif","ga mau move on dia dr pemilu","",""
"5","Negatif","perang sama orang yg gagal move on, padahal Presiden nangkepin koruptor gede","",""
"6","Negatif","NGERIIIBANGEEET WOKKK btw lu udh kena serang apa?? ","",""
"7","Negatif","Udah di jarah apanya??","",""
"8","Negatif","Saudari lu diperkaos/diperbudak tentara musuh gk??","",""
"9","Negatif","Apa jadi budak tawanan perang???","",""
"10","Negatif","wkwkw pasti pendukung Anis,move on bang","",""
"11","Negatif","awas nanti ternaknya Mukidi marah ","",""
"12","Negatif","lagian sp yg ajak lu perang","",""
"13","Negatif","maksudnya ngk ngerti politik luar negeri ngk ngerti arti perang baru bacot doang lucu ni orang","",""
"14","Positif","KKb Sono aja GK beres ","",""
"15","Positif","Yang penting Gak usah ikut2an pak, kasihan anak cucu, mending yang damai2 aja.. Beda cerita kalo diserang ya wajib mempertahankan diri.. Ok?? Peace Love and Stay Calm","",""
"16","Positif","lah itu captionnya kan emang gitu min, kita menginginkan perdamaian, tapi kita akan bertempur jika kedaulatan bangsa kita yang terancam","",""
"17","Positif","ya tapi lebih baik sedia payung sebelum hujan kalou kata pepatah mah , kita gak tau kedepannya gmna","",""
"18","Negatif","takut ..... aku juga takut juskidd","",""
"19","Positif","ini ngomongno yang dulu2 aja kok. Mana bisa maju ?","",""
"20","Negatif","mikirnya anak cucu kedepannya gimana, kalau kita yang dewasa siap mati, tapi anak anak yang kita tinggalin?? iya kalau mereka mati kalau mereka hidup di jajah gimana","",""
"21","Negatif","mending perang melawan kemiskinan ya pak….itu pajak semakin lama semakin membebani,tp hasilnya ga jelas","",""
"22","Negatif","gak usah bayar pajak uda beres bos","",""
"23","Negatif","musuh kita pemerintahan itu sendiri","",""
"24","Positif","ya kan itu maksud nya ga baca?","",""
"25","Negatif","baca caption nya min","",""
"26","Negatif","yah kan dia ga punya cucu jadi ga mikirin","",""
"27","Positif","Lahhh org udh dijajah juga sama pemerintah sendiri","",""
"28","Positif","hahahaha","",""
"29","Negatif","sama siapa itu bg lebih tepatnya?","",""
"30","Negatif","kata-kata ilusi seorang pengangguran yg","",""
"31","Negatif","ucap benih seorang koruptor ","",""
"32","Negatif","ucapan birokrat..","",""
"33","Negatif","pasti ga kebagian bansos ya? Makanya kerja om, jangan jadi pemalas yg cuma ngarepin pemerintah","",""
"34","Negatif","makanya kerja, belajar, bersosialisasi ke orang orang. Kalau cuma ngocok sambil ngewibu tiap hari mana bisa dapat duit","",""
"35","Negatif","u juga dah mending kerja jangan ngebuzzer mulu","",""
"36","Negatif","info lowongan jadi buzzer dong om. Kyaknya enak dijamin pemerintah. ","",""
"37","Negatif","kerja kok, punya skill punya kualitas punya etos kerja, kalau cuma ngarepin bansos mah mending gantung diri aja dek","",""
"38","Positif","kerja buzzer sekali komen 200 perak emg komen disini ada yang ngarepin bansos..?? Wkwkwkwk","",""
"39","Negatif","REAKSI SELURUH RAKYAT YANG BACA BERITA","",""
"40","Positif","LEBIH BAIK DIJAJAH SAMA BELANDA DARIPADA DIJAJAH SAMA PEJABAT SENDIRI","",""
"42","Negatif","pengen komen tapi udah di wakilin","",""
"42","Positif","tapi klo masi di jajah kita gada di dunia ka","",""
"43","Positif","ya belum tentu juga kak, tergantung skenario Allah","",""
"44","Negatif","baru nikhh orang","",""
"45","Negatif","Pangkalan militer Amerika dan Israel ada pilipina, mau lawan perangnya gimana konoha ","",""
"46","Negatif","Bilang Kita gg akan Ada Di Dunia Klo Di Jajah Bangsa Laen??buktinya Kamu Ada Saat Ini Karena Kakek Buyutmu Tdk Mati Pada Saat Di Jajah Belanda Sama Jepang ","",""
"47","Negatif","konon kerja rodi itu tdk ada, Belanda bayar upah, tpi dikorupsi orang2 kita, makannya mending dijajah ","",""
"48","Negatif","Dijajah belanda ❌ Dijajah Pemerintah sendiri dari dulu ✅","",""
"49","Negatif","kata kata ilusi pengangguran yg malas","",""
"50","Positif","mikir kalo itu juga punya otak","",""
"51","Negatif","prittt","",""
"52","Negatif","NGERIIIBANGEEET WOKKK btw lu udh kena serang apa?? Udah di jarah apanya?? Saudari lu diperkaos/diperbudak tentara musuh gk?? Apa jadi budak tawanan perang??? ","",""
"53","Negatif","samnya sebenarnya SDM juga sma rendahnya kecuali Tionghoa disini","",""
"54","Negatif","kocakk, lowongan pekerjaan banyak lu nya aja yg gak cari, btw dijajah pemerintah dalam hal apa yaa? diserang kah rumah nya atau dijarah pemerintah rumah nya","",""
"55","Negatif","lu yg mikirr, loker banyak lu nya aja gada skill","",""
"56","Positif","wkwkwkwk paling tersakiti mereka bang","",""
"57","Negatif","okee deh","",""
"58","Negatif","woyykasih paham mereka KKB gimna ","",""
"59","Positif","Lah Rakyat Indonesia dijajah pemerintahnya sendiri ","",""
"60","Positif","padahal ini yang sudah jelas ya om","",""
"61","Negatif","yuk ke rumah pak Prabowo yuk","",""
"62","Negatif","berisik lo, rasain klo diserang rudal lo","",""
"63","Positif","to the point aja, gak bisa move on, itu kok repot","",""
"64","Positif","baru aja mau komen gini","",""
"65","Negatif","bentar bang saya baru bangun tidur,apanya bang yg di jajah","",""
"66","Negatif","Lawan KKB aja gak becus wooo","",""
"67","Positif","boro2 KKB ma ormas aja cemen","",""
"68","Negatif","bukan gak becus bro, tapi setau gw karena negara kita sangat menjunjung tinggi HAM jdi y gitu deh wkwk","",""
"69","Positif","alo gk karena alasan HAM pasti ampe koruptor udh dihukum mati, jdi dripda komen dkit' nyalahin pemerintah mending kuotanya dipake searching","",""
"70","Negatif","Nyuak","",""
"71","Positif","bukn gal becus ada ham sdm rendah lu.. kalo gak ada ham 1hari juga abis tuh kkb","",""
"72","Negatif","HAM Bro HAM,pasdulu ngelawan GAM gede gedean aja Indonesia kena banyak sanksi dari internasional","",""
"73","Positif","Bilang aja emng gk becus dalam segala hal","",""
"74","Negatif","iya' bro, emng dasarnya manusia selalu melihat kesalahan orang lain wkwk","",""
"75","Negatif","lawan KKB ,, sebelum presidennya prabowo aja susah bener ngurus KKB, emang ada yang berhasil presiden"" sebelumnya,??","",""
"76","Positif","belajar HAM dlu bru ketik gni","",""
"77","Positif","Perang kok bawa2 ham","",""
"78","Negatif","Meooonnngggg...","",""
"79","Negatif","wooowww.... suara macan asia versi 2025","",""
"80","Negatif","Di jajah bangsa sendiri aja masih belum bisa ngatasin","",""
"81","Positif","Omon2 doang..lawan bahlil ato aguan aja ngak berani ","",""
"82","Positif","tapi dia berhasil menangkap banyak koruptor dan menggagalkan aksi jual beli pulau","",""
"83","Positif","btul ini","",""
"84","Negatif","mending sahkan RUU perampasan aset itu baru berhasil","",""
